whisky,meta_critic,stdev,#,cost,class,super_cluster,cluster,country,type,alt_brand
Glenturret 10yo,8.09,0.51,11,$$,SingleMalt-like,GH,G,Scotland,Malt,10 glenturret
Glen Breton 14yo,8.08,0.62,6,$$$$,SingleMalt-like,GH,G,Canada,Malt,14 breton glen
Glenfiddich 12yo,8.08,0.25,23,$$$,SingleMalt-like,GH,G,Scotland,Malt,12 glenfiddich
Tomatin Cu Bocan,8.08,0.33,11,$$$$,SingleMalt-like,GH,H,Scotland,Malt,bocan cu tomatin
Speyburn 10yo,8.07,0.34,18,$$,SingleMalt-like,GH,H,Scotland,Malt,10 speyburn
Tullibardine Aged Oak Edition,8.04,0.44,9,$$$,SingleMalt-like,GH,G,Scotland,Malt,aged edition oak tullibardine
Glen Breton Rare 10yo,8.02,0.47,13,$$$$,SingleMalt-like,GH,G,Canada,Malt,10 breton glen rare
Glen Moray 12yo,8.01,0.28,12,$$,SingleMalt-like,GH,G,Scotland,Malt,12 glen moray
Glen Spey 12yo (F&F),8.01,0.5,4,$$$,SingleMalt-like,GH,H,Scotland,Malt,12 ff glen spey
Kilbeggan Irish Reserve Malt Whiskey,7.97,0.53,6,$$,SingleMalt-like,GH,G,Ireland,Malt,kilbeggan malt reserve
Arran Malt Lochranza Reserve,7.96,0.67,3,$$$,SingleMalt-like,GH,G,Scotland,Malt,arran lochranza malt reserve
Glen Moray Classic,7.96,0.25,5,$,SingleMalt-like,GH,G,Scotland,Malt,classic glen moray
Knockando 12yo (All Vintages),7.93,0.42,12,$$,SingleMalt-like,GH,G,Scotland,Malt,12 all knockando vintages
Glen Grant The Major's Reserve,7.91,0.67,9,$$,SingleMalt-like,GH,H,Scotland,Malt,glen grant major reserve the
Auchentoshan Classic,7.89,0.49,8,$$,SingleMalt-like,GH,H,Scotland,Malt,auchentoshan classic
Speyside 12yo,7.86,0.63,10,$$,SingleMalt-like,GH,H,Scotland,Malt,12 speyside
Tormore 12yo,7.86,0.36,9,$$$,SingleMalt-like,GH,G,Scotland,Malt,12 tormore
Tomintoul 10yo,7.83,0.32,14,$$$,SingleMalt-like,GH,G,Scotland,Malt,10 tomintoul
Auchentoshan 10yo,7.76,0.38,10,$$$,SingleMalt-like,GH,H,Scotland,Malt,10 auchentoshan
Tamnavulin 12yo,7.67,0.86,4,$$,SingleMalt-like,GH,H,Scotland,Malt,12 tamnavulin
BenRiach Heart of Speyside,7.63,0.99,6,$$$,SingleMalt-like,GH,H,Scotland,Malt,benriach heart of speyside
Auchentoshan American Oak,7.55,0.91,7,$$,SingleMalt-like,GH,H,Scotland,Malt,american auchentosahn oak
Loch Lomond,7.54,0.47,10,$,SingleMalt-like,GH,H,Scotland,Malt,loch lomond
Caol Ila 30yo,9.33,0.24,9,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,30 caol ila
Talisker 30yo,9.2,0.33,13,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,30 talisker
Talisker 18yo,9.18,0.2,16,$$$$$,SingleMalt-like,I,I,Scotland,Malt,18 talisker
Springbank 16yo Local Barley,9.08,0.17,10,$$$$$,SingleMalt-like,I,I,Scotland,Malt,16 barley local springbank
Highland Park Sigurd,9.04,0.3,7,$$$$$,SingleMalt-like,I,I,Scotland,Malt,highland park sigurd
Glen Garioch 1994,9.03,0.36,7,$$$$,SingleMalt-like,I,I,Scotland,Malt,1994 garioch glen
Oban 21yo,9.03,0.24,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,21 oban
Nikka Yoichi 15yo,9.02,0.23,13,$$$$$,SingleMalt-like,I,I,Japan,Malt,15 ichi nikka
Talisker 25yo,8.98,0.3,15,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,25 talisker
Bruichladdich Port Charlotte PC10 Tro Na Linntean,8.97,0.45,9,$$$$$,SingleMalt-like,I,I,Scotland,Malt,bruichladdich charlotte linntean na pc10 port tro
Compass Box The Lost Blend,8.96,0.25,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt,blend box compass lost the
Springbank 18yo,8.96,0.19,17,$$$$$,SingleMalt-like,I,I,Scotland,Malt,18 springbank
Talisker Distiller's Edition (all editions),8.96,0.24,18,$$$$,SingleMalt-like,I,I,Scotland,Malt,all distiller edition editions talisker
Glen Garioch 1991,8.95,0.14,3,$$$$,SingleMalt-like,I,I,Scotland,Malt,1991 garioch glen
Glen Garioch 1995,8.95,0.32,9,$$$$,SingleMalt-like,I,I,Scotland,Malt,1995 garioch glen
Talisker 57 North,8.95,0.21,16,$$$$,SingleMalt-like,I,I,Scotland,Malt,57 north talisker
Tomatin Cu Bocan 1989 Limited Edition,8.95,0.25,4,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,1989 bocan cu edition limited tomatin
Talisker 10yo,8.92,0.17,22,$$$$,SingleMalt-like,I,I,Scotland,Malt,10 talisker
Bruichladdich Port Charlotte PC11 Eorna Na H-Alba,8.91,0.26,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt,alba bruichladdich charlotte eorna h na pc11 port
Compass Box Flaming Heart,8.91,0.34,18,$$$$$,SingleMalt-like,I,I,Scotland,Malt,box compass flaming heart
"Elements of Islay ""Peat""",8.91,0.18,5,$$$,SingleMalt-like,I,I,Scotland,Malt,"""peat"" elements islay of"
Wemyss Malts The Rockpool,8.9,0.28,3,$$$,SingleMalt-like,I,I,Scotland,Malt,malts rockpool the wemyss
Bowmore Mizunara Cask Finish,8.89,0.43,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,bowmore cask finish mizunara
BenRiach 21yo Authenticus Peated,8.88,0.35,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt,21 authenticus benriach peated
Bruichladdich Port Charlotte PC10 (Second Edition),8.88,0.17,3,$$$$,SingleMalt-like,I,I,Scotland,Malt,bruichladdich charlotte edition pc10 port second
Caol Ila 25yo,8.84,0.26,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt,25 caol ila
Big Peat (Douglas Laing),8.81,0.21,14,$$$$,SingleMalt-like,I,I,Scotland,Malt,big douglas laing peat
Springbank 12yo Green,8.8,0.26,8,$$$$,SingleMalt-like,I,I,Scotland,Malt,12 green springbank
Bowmore 10yo Tempest,8.79,0.21,18,$$$$,SingleMalt-like,I,I,Scotland,Malt,10 bowmore tempest
Hakushu Single Malt Heavily Peated,8.79,0.33,12,$$$$$+,SingleMalt-like,I,I,Japan,Malt,hakushu heavily peated
Highland Park 12yo (reviews pre-mid 2014),8.79,0.25,18,$$$,SingleMalt-like,I,I,Scotland,Malt,12 2014 highland mid park pre reviews
Arran Malt Machrie Moor Cask Strength,8.78,0.08,3,$$$$,SingleMalt-like,I,I,Scotland,Malt,arran cask machrie malt moor strength
Nikka Pure Malt Black,8.78,0.22,13,$$$,SingleMalt-like,I,I,Japan,Malt,black malt nikka pure
Bruichladdich Infinity Third Edition,8.77,0.27,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt,bruichladdich edition infinity third
Kavalan Distillery Reserve Peaty Cask,8.77,0.35,4,$$$$$+,SingleMalt-like,I,I,Taiwan,Malt,cask distillery kavalan peaty reserve
Nikka Yoichi 12yo,8.77,0.2,9,$$$$$,SingleMalt-like,I,I,Japan,Malt,12 ichi nikka
Bruichladdich Port Charlotte Scottish Barley Heavily Peated,8.76,0.27,14,$$$$,SingleMalt-like,I,I,Scotland,Malt,barley bruichladdich charlotte heavily peated port scottish
Talisker Dark Storm,8.75,0.14,8,$$$,SingleMalt-like,I,I,Scotland,Malt,dark storm talisker
Oban 18yo,8.73,0.18,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt,18 oban
Caol Ila 12yo,8.72,0.18,19,$$$$,SingleMalt-like,I,I,Scotland,Malt,12 caol ila
Bruichladdich Port Charlotte 10yo Heavily Peated,8.71,0.23,4,$$$$,SingleMalt-like,I,I,Scotland,Malt,10 bruichladdich charlotte heavily peated port
Bruichladdich Port Charlotte An Turas Mor,8.71,0.27,10,$$$$,SingleMalt-like,I,I,Scotland,Malt,an bruichladdich charlotte mor port turas
Highland Park 15yo Freya,8.71,0.4,12,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,15 freya highland park
Highland Park 17yo Ice,8.7,0.27,8,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,17 highland ice park
Springbank 10yo,8.7,0.25,19,$$$$,SingleMalt-like,I,I,Scotland,Malt,10 springbank
Benromach 10yo,8.69,0.27,20,$$$,SingleMalt-like,I,I,Scotland,Malt,10 benromach
Nikka Yoichi 10yo,8.68,0.28,16,$$$$,SingleMalt-like,I,I,Japan,Malt,10 ichi nikka
Bruichladdich Port Charlotte PC12 Oileanach Furachail,8.67,0.61,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt,bruichladdich charlotte furachail oileanach pc12 port
Caol Ila 18yo,8.67,0.5,14,$$$$$,SingleMalt-like,I,I,Scotland,Malt,18 caol ila
Highland Park 12yo (all reviews),8.67,0.21,23,$$$,SingleMalt-like,I,I,Scotland,Malt,12 all highland park reviews
Nikka Miyagikyo 15yo,8.67,0.29,11,$$$$$,SingleMalt-like,I,I,Japan,Malt,15 miyagik nikka
Bowmore 15yo Mariner,8.65,0.44,7,$$$$$,SingleMalt-like,I,I,Scotland,Malt,15 bowmore mariner
Nikka Pure Malt White,8.65,0.32,12,$$$,SingleMalt-like,I,I,Japan,Malt,malt nikka pure white
BenRiach 25yo Authenticus Peated,8.64,0.6,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt,25 authenticus benriach peated
Talisker Storm,8.61,0.26,16,$$$$,SingleMalt-like,I,I,Scotland,Malt,storm talisker
BenRiach 10yo Curiositas,8.6,0.3,17,$$$,SingleMalt-like,I,I,Scotland,Malt,10 benriach curiositas
BenRiach Peated Quarter Casks,8.59,0.31,4,$$$$,SingleMalt-like,I,I,Scotland,Malt,benriach casks peated quarter
Fettercairn Fior,8.58,0.39,3,$$$,SingleMalt-like,I,I,Scotland,Malt,fettercairn fior
Bruichladdich Islay Barley (all vintages),8.57,0.23,12,$$$$,SingleMalt-like,I,I,Scotland,Malt,all barley bruichladdich islay vintages
Compass Box Eleuthera,8.56,0.39,12,$$$$,SingleMalt-like,I,I,Scotland,Malt,box compass eleuthera
Nikka Miyagikyo 12yo,8.56,0.33,7,$$$$,SingleMalt-like,I,I,Japan,Malt,12 miyagik nikka
Bowmore 18yo,8.55,0.47,16,$$$$,SingleMalt-like,I,I,Scotland,Malt,18 bowmore
Longrow 7yo Gaja Barolo Finish,8.55,0.55,6,$$$$,SingleMalt-like,I,I,Scotland,Malt,7 barolo finish gaja longrow
Glen Garioch 1997,8.54,0.15,6,$$$$,SingleMalt-like,I,I,Scotland,Malt,1997 garioch glen
Westland Peated,8.53,0.57,6,$$$$,SingleMalt-like,I,I,USA,Malt,peated westland
Ardmore Traditional Cask,8.52,0.21,19,$$$,SingleMalt-like,I,I,Scotland,Malt,ardmore cask traditional
GlenDronach Peated,8.5,0.32,9,$$$,SingleMalt-like,I,I,Scotland,Malt,glendronach peated
Bowmore 17yo White Sands,8.48,0.55,5,$$$$,SingleMalt-like,I,I,Scotland,Malt,17 bowmore sands white
Highland Park 10yo,8.47,0.27,14,$$$,SingleMalt-like,I,I,Scotland,Malt,10 highland park
Oban 14yo,8.45,0.39,15,$$$$,SingleMalt-like,I,I,Scotland,Malt,14 oban
Highland Park 12yo (reviews post-mid 2014),8.43,0.34,13,$$$,SingleMalt-like,I,I,Scotland,Malt,12 2014 highland mid park post reviews
Nikka Miyagikyo 10yo,8.42,0.32,7,$$$$,SingleMalt-like,I,I,Japan,Malt,10 miyagik nikka
Nikka Yoichi NAS,8.42,0.33,8,$$$$,SingleMalt-like,I,I,Japan,Malt,ichi nikka
Wemyss Malts Peat Chimney,8.4,0.52,11,$$$,SingleMalt-like,I,I,Scotland,Malt,chimney malts peat wemyss
Oban Little Bay,8.39,0.43,10,$$$$,SingleMalt-like,I,I,Scotland,Malt,bay little oban
Bowmore 12yo,8.38,0.29,18,$$$,SingleMalt-like,I,I,Scotland,Malt,12 bowmore
Bowmore 17yo,8.34,0.65,7,$$$$$,SingleMalt-like,I,I,Scotland,Malt,17 bowmore
Glen Scotia 12yo,8.31,0.52,9,$$$$,SingleMalt-like,I,I,Scotland,Malt,12 glen scotia
Penderyn Peated,8.29,0.58,9,$$$$,SingleMalt-like,I,I,Wales,Malt,peated penderyn
Bowmore Gold Reef,8.28,0.38,5,$$,SingleMalt-like,I,I,Scotland,Malt,bowmore gold reef
Highland Park Einar,8.28,0.38,7,$$$,SingleMalt-like,I,I,Scotland,Malt,einar highland park
Ledaig 10yo (Tobermory),8.28,0.37,18,$$$,SingleMalt-like,I,I,Scotland,Malt,10 ledaig tobermory
BenRiach Birnie Moss,8.27,0.37,10,$$$,SingleMalt-like,I,I,Scotland,Malt,benriach birnie moss
Bowmore Small Batch,8.27,0.57,10,$$$,SingleMalt-like,I,I,Scotland,Malt,batch bowmore small
Jura Superstition,8.25,0.45,19,$$$,SingleMalt-like,I,I,Scotland,Malt,jura superstition
Old Ballantruan Peated (Toumintoul),8.25,0.4,8,$$$$,SingleMalt-like,I,I,Scotland,Malt,ballantruan old peated toumintoul
Springbank CV,8.25,0.38,8,$$$,SingleMalt-like,I,I,Scotland,Malt,cv springbank
St George's Chapter 9 (peated),8.2,0.45,5,$$$,SingleMalt-like,I,I,England,Malt,9 chapter george peated st
Connemara Peated Single Malt,8.15,0.48,15,$$$,SingleMalt-like,I,I,Ireland,Malt,connemara peated
Glenrothes Peated Cask Reserve,8.1,0.55,3,$$$,SingleMalt-like,I,I,Scotland,Malt,cask glenrothes peated reserve
Jura 10yo Origin,8.02,0.38,16,$$$,SingleMalt-like,I,I,Scotland,Malt,10 jura origin
Arran Malt Machrie Moor Peated (all editions),7.88,0.55,12,$$$$,SingleMalt-like,I,I,Scotland,Malt,all arran editions machrie malt moor peated
Bowmore Legend,7.65,0.59,10,$$,SingleMalt-like,I,I,Scotland,Malt,bowmore legend
Longrow 10yo Tokaji Finish,7.49,1.06,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt,10 finish longrow tokaji
Brora 35yo,9.44,0.34,10,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,35 brora
Brora 30yo,9.29,0.21,17,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,30 brora
Lagavulin 16yo,9.24,0.23,25,$$$$,SingleMalt-like,J,J,Scotland,Malt,16 lagavulin
Bruichladdich Octomore 10 (Second Edition),9.21,0.22,3,$$$$$,SingleMalt-like,J,J,Scotland,Malt,10 bruichladdich edition octomore second
Ardbeg Uigeadail,9.2,0.41,22,$$$$,SingleMalt-like,J,J,Scotland,Malt,ardbeg uigeadall
Laphroaig 21yo,9.18,0.23,8,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,21 laphroaig
Laphroaig Cairdeas 2015,9.17,0.17,7,$$$$,SingleMalt-like,J,J,Scotland,Malt,2015 cairdeas laphroaig
Amrut Peated Single Malt Cask Strength,9.15,0.2,9,$$$$,SingleMalt-like,J,J,India,Malt,amrut cask peated strength
Ardbeg 21yo,9.12,0.23,8,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,21 ardbeg
Lagavulin 12yo Cask Strength,9.12,0.18,19,$$$$$,SingleMalt-like,J,J,Scotland,Malt,12 cask lagavulin strength
Bruichladdich Octomore 6.2,9.11,0.27,8,$$$$$,SingleMalt-like,J,J,Scotland,Malt,6.2 bruichladdich octomore
Longrow 18yo,9.1,0.25,10,$$$$$,SingleMalt-like,J,J,Scotland,Malt,18 longrow
Ardbeg Corryvreckan,9.09,0.31,20,$$$$,SingleMalt-like,J,J,Scotland,Malt,ardbeg corryvreckan
Ardbeg Supernova 2014,9.05,0.31,14,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,2014 ardbeg supernova
Ardbeg 17yo,9.04,0.26,7,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,17 ardbeg
Ardbeg Alligator,9.04,0.16,13,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,alligator ardbeg
Lagavulin Distiller's Edition (All Vintages),9.04,0.23,20,$$$$$,SingleMalt-like,J,J,Scotland,Malt,all distiller edition lagavulin vintages
Laphroaig 18yo,9.04,0.27,18,$$$$$,SingleMalt-like,J,J,Scotland,Malt,18 laphroaig
Laphroaig Quarter Cask,9.03,0.27,21,$$$$,SingleMalt-like,J,J,Scotland,Malt,cask laphroaig quarter
Ardbeg Ardbog The Ultimate,9.02,0.44,18,$$$$$,SingleMalt-like,J,J,Scotland,Malt,ardbeg ardbog the ultimate
AnCnoc Cutter,9.01,0.55,7,$$$$,SingleMalt-like,J,J,Scotland,Malt,ancnoc cutter
Ardbeg Supernova 2015,9.01,0.34,7,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,2015 ardbeg supernova
AnCnoc Rutter,8.98,0.3,6,$$$$,SingleMalt-like,J,J,Scotland,Malt,ancnoc rutter
Bruichladdich Octomore 7.1,8.98,0.28,10,$$$$$,SingleMalt-like,J,J,Scotland,Malt,7.1 bruichladdich octomore
Laphroaig 10yo Cask Strength (all batches),8.98,0.35,19,$$$$,SingleMalt-like,J,J,Scotland,Malt,10 all batches cask laphroaig strength
Bruichladdich Octomore 7.2,8.96,0.33,6,$$$$$,SingleMalt-like,J,J,Scotland,Malt,7.2 bruichladdich octomore
Bruichladdich Octomore 7.3,8.96,0.46,5,$$$$$,SingleMalt-like,J,J,Scotland,Malt,7.3 bruichladdich octomore
Laphroaig Cairdeas 2014 Amontillado,8.96,0.22,9,$$$$,SingleMalt-like,J,J,Scotland,Malt,2014 amontillado cairdeas laphroaig
Ardbeg 10yo,8.95,0.33,23,$$$,SingleMalt-like,J,J,Scotland,Malt,10 ardbeg
Amrut 100 Peated,8.92,0.38,6,$$$$,SingleMalt-like,J,J,India,Malt,100 amrut peated
Ardbeg Dark Cove,8.92,0.33,15,$$$$$,SingleMalt-like,J,J,Scotland,Malt,ardbeg cove dark
Ardbeg Perpetuum,8.9,0.37,14,$$$$$,SingleMalt-like,J,J,Scotland,Malt,ardbeg perpetuum
Ardbeg Auriverdes,8.89,0.38,16,$$$$$,SingleMalt-like,J,J,Scotland,Malt,ardbeg auriverdes
Bruichladdich Octomore 10,8.88,0.4,5,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,10 bruichladdich octomore
Bruichladdich Port Charlotte Islay Barley Heavily Peated,8.88,0.18,3,$$$$,SingleMalt-like,J,J,Scotland,Malt,barley bruichladdich charlotte heavily islay peated port
Kilchoman Loch Gorm,8.88,0.29,18,$$$$,SingleMalt-like,J,J,Scotland,Malt,gorm kilchoman loch
Big Peat Christmas Edition (2012-2016),8.86,0.15,9,$$$$,SingleMalt-like,J,J,Scotland,Malt,2012 2016 big christmas edition peat
Brora 21yo,8.86,0.4,4,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,21 brora
Laphroaig 10yo,8.86,0.25,20,$$$,SingleMalt-like,J,J,Scotland,Malt,10 laphroaig
Laphroaig An Cuan Mor,8.86,0.13,11,$$$$,SingleMalt-like,J,J,Scotland,Malt,an cuan laphroaig mor
Laphroaig Lore,8.85,0.31,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt,laphroaig lore
Lagavulin 8yo,8.84,0.26,15,$$$$,SingleMalt-like,J,J,Scotland,Malt,8 lagavulin
Laphroaig Cairdeas 2016 Madeira,8.84,0.45,10,$$$$,SingleMalt-like,J,J,Scotland,Malt,cairdeas laphroaig madeira
Amrut Portpipe Peated Single Cask,8.83,0.35,9,$$$$,SingleMalt-like,J,J,India,Malt,amrut cask peated portpipe single
Ileach Peated Islay Cask Strength,8.83,0.38,8,$$$,SingleMalt-like,J,J,Scotland,Malt,cask ileach islay peated strength
Longrow CV,8.82,0.3,15,$$$,SingleMalt-like,J,J,Scotland,Malt,cv longrow
Longrow Peated,8.82,0.18,12,$$$,SingleMalt-like,J,J,Scotland,Malt,longrow peated
Bunnahabhain Ceòbanach,8.81,0.27,11,$$$$,SingleMalt-like,J,J,Scotland,Malt,bunnahabhain ceòbanach
Ichiro's Malt Chichibu The Peated,8.81,0.34,7,$$$$$+,SingleMalt-like,J,J,Japan,Malt,chichibu ichiro malt peated the
Bruichladdich Octomore 6.3,8.78,0.62,8,$$$$$,SingleMalt-like,J,J,Scotland,Malt,6.3 bruichladdich octomore
Kilchoman Machir Bay (all vintages),8.78,0.26,20,$$$$,SingleMalt-like,J,J,Scotland,Malt,all bay kilchoman machir vintages
Laphroaig 15yo (200th Anniversary),8.78,0.31,15,$$$$,SingleMalt-like,J,J,Scotland,Malt,15 200th anniversary laphroaig
Kilchoman 100% Islay (all editions),8.77,0.27,14,$$$$,SingleMalt-like,J,J,Scotland,Malt,100% all editions islay kilchoman
Wemyss Malts Kiln Embers,8.77,0.09,3,$$$,SingleMalt-like,J,J,Scotland,Malt,embers kiln malts wemyss
Connemara Turf Mor,8.75,0.45,11,$$$$,SingleMalt-like,J,J,Ireland,Malt,connemara mor turf
Bruichladdich Octomore 6.1,8.72,0.26,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt,6.1 bruichladdich octomore
BenRiach 18yo Dunder,8.7,0.26,4,$$$$$,SingleMalt-like,J,J,Scotland,Malt,18 benriach dunder
Kilchoman Sanaig,8.7,0.27,11,$$$$,SingleMalt-like,J,J,Scotland,Malt,kilchoman sanaig
Laphroaig Triple Wood,8.7,0.34,17,$$$$,SingleMalt-like,J,J,Scotland,Malt,laphroaig triplewood
Amrut Peated Single Malt,8.69,0.34,11,$$$$,SingleMalt-like,J,J,India,Malt,amrut peated
Caol Ila Distiller's Edition (all editions),8.67,0.39,12,$$$$,SingleMalt-like,J,J,Scotland,Malt,all caol distiller edition editions ila
Compass Box Peat Monster,8.66,0.33,18,$$$,SingleMalt-like,J,J,Scotland,Malt,box compass monster peat
Jura Prophecy,8.65,0.32,15,$$$$,SingleMalt-like,J,J,Scotland,Malt,jura prophecy
Bunnahabhain Toiteach,8.59,0.37,14,$$$$,SingleMalt-like,J,J,Scotland,Malt,bunnahabhain toiteach
AnCnoc Flaughter,8.58,0.34,9,$$$$,SingleMalt-like,J,J,Scotland,Malt,ancnoc flaughter
Bruichladdich Octomore 7.4,8.56,0.69,7,$$$$$,SingleMalt-like,J,J,Scotland,Malt,7.4 bruichladdich octomore
Kilchoman Winter 2010 Release,8.54,0.16,4,$$$$,SingleMalt-like,J,J,Scotland,Malt,2010 kilchoman release winter
BenRiach 17yo Septendecim Peated,8.53,0.56,17,$$$$,SingleMalt-like,J,J,Scotland,Malt,17 benriach peated septendecim
Bruichladdich Port Charlotte The Peat Project,8.5,0.4,7,$$$$,SingleMalt-like,J,J,Scotland,Malt,bruichladdich charlotte peat port project the
Finlaggan Old Reserve,8.45,0.5,14,$$,SingleMalt-like,J,J,Scotland,Malt,finlaggan old reserve
Benromach Peat Smoke,8.43,0.27,13,$$$$,SingleMalt-like,J,J,Scotland,Malt,benromach peat smoke
Ileach Peated Islay,8.3,0.31,7,$$,SingleMalt-like,J,J,Scotland,Malt,ileach islay peated
Laphroaig QA Cask,8.29,0.57,9,$$$,SingleMalt-like,J,J,Scotland,Malt,cask laphroaig qa
Tomintoul Peaty Tang,7.88,0.71,11,$$,SingleMalt-like,J,J,Scotland,Malt,peaty tang tomintoul
Compass Box The General,9.2,0.28,10,$$$$$+,Scotch-like,,,Scotland,Blend,box compass general the
Compass Box The Circus,8.94,0.28,4,$$$$$,Scotch-like,,,Scotland,Blend,box circus compass the
Compass Box Hedonism Quindecimus,8.91,0.41,7,$$$$$,Scotch-like,,,Scotland,Blend,box compass hedonism quindecimus
Powers 12yo John's Lane,8.81,0.41,13,$$$$,Scotch-like,,,Ireland,Blend,12 john lane powers
Ballantine's 17yo,8.79,0.35,14,$$$$,Scotch-like,,,Scotland,Blend,17 ballantine
High West Campfire,8.78,0.35,11,$$$$,Scotch-like,,,USA,Blend,campfire high west
Yellow Spot,8.77,0.26,14,$$$$,Scotch-like,,,Ireland,Blend,spot yellow
Jameson Blender's Dog Irish Whiskey,8.72,0.3,3,$$$$,Scotch-like,,,Ireland,Blend,blender dog jameson
Chivas Regal 25yo,8.71,0.21,7,$$$$$+,Scotch-like,,,Scotland,Blend,25 chivas regal
The Irishman Cask Strength,8.67,0.25,4,$$$$$,Scotch-like,,,Ireland,Blend,cask man strength
Powers 12yo Reserve,8.62,0.25,6,$$$,Scotch-like,,,Ireland,Blend,12 powers reserve
Jameson Cooper's Croze Irish Whiskey,8.6,0.43,3,$$$$,Scotch-like,,,Ireland,Blend,cooper croze
Compass Box Great King St Artist's Blend,8.59,0.38,18,$$,Scotch-like,,,Scotland,Blend,artist blend box compass great king st
Nikka Coffey Grain,8.59,0.5,15,$$$$,Scotch-like,,,Japan,Grain,coffey grain nikka
Compass Box Great King St Glasgow Blend,8.57,0.24,11,$$$,Scotch-like,,,Scotland,Blend,blend box compass glasgow great king st
Chivas Royal Salute 21yo,8.56,0.64,7,$$$$$,Scotch-like,,,Scotland,Blend,21 chivas royal salute
Compass Box Hedonism,8.53,0.47,17,$$$$,Scotch-like,,,Scotland,Blend,box compass hedonism
Johnnie Walker Blue Label,8.53,0.37,14,$$$$$,Scotch-like,,,Scotland,Blend,blue johnnie walker
Teeling Single Grain (Wine Cask Finish),8.53,0.32,10,$$$,Scotch-like,,,Ireland,Grain,cask finish grain single teeling wine
Cutty Sark Prohibition,8.52,0.5,11,$$,Scotch-like,,,Scotland,Blend,cutty prohibition sark
Johnnie Walker Green Label,8.52,0.4,16,$$$$,Scotch-like,,,Scotland,Blend,green johnnie walker
Johnnie Walker Explorer’s Club The Gold Route,8.49,0.34,8,$$$$,Scotch-like,,,Scotland,Blend,club explorers gold johnnie route the walker
Johnnie Walker Platinum Label,8.49,0.43,14,$$$$,Scotch-like,,,Scotland,Blend,johnnie platinum walker
The Nikka 12yo Premium Blended,8.49,0.14,3,$$$$,Scotch-like,,,Japan,Blend,12 blended nikka premium
Té Bheag,8.47,0.29,14,$$,Scotch-like,,,Scotland,Blend,bheag té
Famous Grouse Gold Reserve 12yo,8.45,0.34,9,$$,Scotch-like,,,Scotland,Blend,12 famous gold grouse reserve
Jameson Distiller's Safe Irish Whiskey,8.45,0.65,3,$$$$,Scotch-like,,,Ireland,Blend,distiller jameson safe
Jameson Gold Reserve,8.44,0.42,9,$$$$,Scotch-like,,,Ireland,Blend,gold jameson reserve
Writers Tears Pot Still Irish Whiskey,8.44,0.38,15,$$,Scotch-like,,,Ireland,Blend,pot still tears writers
Johnnie Walker Double Black,8.42,0.45,14,$$,Scotch-like,,,Scotland,Blend,black double johnnie walker
Three Ships 10yo,8.42,0.38,9,$$$$,Scotch-like,,,South Africa,Blend,10 ships three
Jameson Bold Irish Whiskey,8.38,0.4,3,$$$$,Scotch-like,,,Ireland,Blend,bold jameson
Jameson Signature Reserve,8.38,0.32,5,$$,Scotch-like,,,Ireland,Blend,jameson reserve signature
Johnnie Walker Explorer’s Club The Spice Road,8.37,0.57,9,$$,Scotch-like,,,Scotland,Blend,club explorers johnnie road spice the walker
Jameson 12yo Special Reserve,8.36,0.24,10,$$$$,Scotch-like,,,Ireland,Blend,12 jameson reserve special
Johnnie Walker Rye Cask Finish,8.36,0.59,5,$$$,Scotch-like,,,Scotland,Blend,cask finish johnnie rye walker
Bushmills Black Bush,8.35,0.4,20,$$,Scotch-like,,,Ireland,Blend,black bush bushmills
Kirin 50% Blend (Fuji Gotemba),8.35,0.49,3,$$$$,Scotch-like,,,Japan,Blend,50% blend fuji gotemba kirin
Jameson Select Reserve (Black Barrel),8.34,0.38,16,$$,Scotch-like,,,Ireland,Blend,barrel black jameson reserve select
