J. R. Ewing Private Reserve Bourbon,25.360113,NULL,NULL,34.99,1.3797257717225244
Crown Royal Hand Selected Barrel,25.360113,83.0,8.819999694824219,54.99,2.1683657863193924
Midleton Rare,25.360113,NULL,8.800000190734863,159.99,6.308726013374095
Caol Ila 30 Year Scotch,25.360113,93.33333333333333,9.329999923706055,799.99,31.545205878789286
Macallan 30yr Sherry Oak,25.360113,NULL,NULL,NULL,NULL
Gentleman Jack Whiskey,59.1736,63.27272727272727,7.909999847412109,64.99,1.0982938116828747
Bushmills Black Bush Irish Whiskey,25.360113,79.625,8.350000381469727,29.99,1.1825656928627348
Virgil Kaine Ginger Infused Bourbon,25.360113,NULL,NULL,34.99,1.3797257717225244
Bushmills 21 Year Single Malt Irish Whiskey,25.360113,85.75,8.930000305175781,129.99,5.125765991478793
Speyburn Single Malt,25.360113,NULL,NULL,29.99,1.1825656928627348
The Dalmore 12 YO,25.360113,77.54054054054055,8.430000305175781,69.99,2.759845646845898
White Horse,25.360113,60.0,NULL,19.99,0.7882456855643007
Maker's Mark Bourbon,6.7626967,79.97368421052632,8.229999542236328,9.99,1.4772213143287496
Michter's Single Barrel 10 Yr. Bourbon,25.360113,NULL,NULL,114.99,4.534285679688851
Jim Beam Maple Bourbon,25.360113,NULL,NULL,17.49,0.6896656837396923
Southern Comfort Whiskey,12.680057,25.0,NULL,8.99,0.7089873550720468
Johnnie Walker Red Scotch,33.813484,47.666666666666664,7.369999885559082,36.49,1.0791553296129672
Larceny Bourbon,59.1736,NULL,NULL,54.99,0.9292995927541019
George Dickel No. 8 Tennessee Whiskey,59.1736,70.75,NULL,40.99,0.6927075960011356
Red Stag Honey Tea,25.360113,NULL,NULL,16.9,0.6664007972922389
Canadian Club Whisky,25.360113,74.5,NULL,15.49,0.6108016822800055
Jameson Irish Whiskey,33.813484,70.28571428571429,7.820000171661377,34.99,1.0347943287918933
Wild Turkey Rare Breed,25.360113,174.3783783783784,17.479999542236328,44.99,1.7740457790209585
Woodford Reserve Bourbon,33.813484,NULL,8.399999618530273,45.99,1.3601083348131013
George Dickel No. 12 Tennessee Whiskey,12.680057,80.85714285714286,8.270000457763672,13.49,1.0638753616406373
Revel Stoke Pumpkin Spiced Flavored Whisky,25.360113,NULL,NULL,16.99,0.6699496833747706
Seagram's 7 Crown Dark Honey,33.813484,NULL,NULL,19.99,0.5911842641732256
2 Gingers Irish Whiskey,1.6906742,NULL,8.039999961853027,2.49,1.4727852536696355
J & B Rare Scotch,25.360113,NULL,NULL,19.99,0.7882456855643007
Bulleit Bourbon,59.1736,81.15384615384616,8.380000114440918,60.99,1.0306961627910876
E H Taylor Seasoned Wood Whiskey,25.360113,NULL,NULL,67.99,2.680981645386211
JP Wiser's Rye,1.6906742,NULL,NULL,0.99,0.5855652247365979
Lot 40,25.360113,83.76470588235294,8.920000076293945,44.99,1.7740457790209585
Jameson Irish Whiskey,59.1736,70.28571428571429,7.820000171661377,59.99,1.01379673445159
Ezra Brooks Bourbon,25.360113,NULL,NULL,12.99,0.512221680455397
Catoctin Creek Mosby's Spirit Rye Whiskey,25.360113,NULL,NULL,29.49,1.1628496924978131
Bowman's Bourbon,33.813484,NULL,NULL,10.99,0.3250182592467827
Elijah Craig 18-year Single Barrel Bourbon,25.360113,NULL,NULL,129.99,5.125765991478793
Old Forester Signature,25.360113,83.06666666666666,NULL,21.99,0.8671096870239876
Virginia Gentleman,25.360113,142.0,NULL,13.99,0.5516536811852404
Virginia Gentleman,59.1736,71.0,NULL,27.99,0.4730149953545654
Jim Beam Honey Bourbon,25.360113,10.0,NULL,17.49,0.6896656837396923
Canadian Hunter Traveler,25.360113,NULL,NULL,8.99,0.3544936775360234
West Cork Barrel Proof Irish Whiskey,25.360113,NULL,NULL,55.99,2.207797787049236
Buchanan's Deluxe 12 Year Scotch,25.360113,NULL,NULL,41.99,1.6557497768314282
Bird Dog 100ml Variety Pack #2,3.3813484,NULL,NULL,13.99,4.137402667234882
Jim Beam Traveler,25.360113,NULL,NULL,17.49,0.6896656837396923
Haller's Reserve Whiskey,59.1736,NULL,NULL,14.99,0.2533224269410967
Coldcock American Herbal Whiskey,25.360113,NULL,NULL,22.99,0.9065416877538309
Evan Williams Cherry Whiskey,25.360113,NULL,NULL,14.49,0.5713696815501621
Virginia Gentleman,12.680057,71.0,NULL,6.49,0.5118273514228299
Glenlivet 12 Year Single Malt Scotch,59.1736,76.70192307692308,8.050000190734863,99.99,1.6897738035652905
Elmer T Lee Bourbon,25.360113,93.0,NULL,35.99,1.4191577724523678
Yellowstone 7yr Limited Edition 2016,25.360113,NULL,NULL,99.99,3.9428056687412
Caol Ila Distillers Edition Scotch,25.360113,NULL,NULL,77.99,3.075301652684645
The Glenlivet W/50ml's 15yr & Founders Reserve,25.360113,NULL,NULL,48.99,1.931773781940332
Henry Mckenna Bourbon,25.360113,NULL,NULL,11.99,0.47278967972555364
Chivas Regal 12 Year Scotch,25.360113,69.52083333333333,7.760000228881836,37.99,1.4980217739120547
Glenkinchie 24 YR,25.360113,NULL,NULL,499.99,19.715605659836267
Johnnie Walker Platinum,25.360113,78.25,8.489999771118164,108.99,4.29769367530979
Bulleit Bourbon,25.360113,81.15384615384616,8.380000114440918,32.99,1.3008617702628376
Senator's Club Whiskey,25.360113,NULL,NULL,7.89,0.3111184804937243
Glenmorangie The Original 18 Yr,25.360113,NULL,NULL,115.99,4.573717680418694
Haig & Haig Pinch,25.360113,NULL,NULL,42.99,1.6951817775612716
Abraham Bowman Gingerbread Cocoa Finish Bourbon,12.680057,NULL,NULL,39.99,3.1537715507434827
Evan Williams Black Bourbon,12.680057,79.0,8.180000305175781,6.99,0.5512593521526733
Evan Williams White Bourbon,25.360113,NULL,NULL,15.99,0.6305176826449272
Stranahan Colorado Whiskey,25.360113,82.5,8.5600004196167,59.99,2.3655257899686095
Alberta Dark Batch Rye Whiskey,25.360113,NULL,8.600000381469727,29.99,1.1825656928627348
Imperial Whiskey,59.1736,NULL,NULL,11.99,0.20262414192260395
Glenmorangie The Original 10 Yr,59.1736,74.0,NULL,81.99,1.3855840934543338
Evan Williams Green Bourbon,33.813484,79.0,NULL,12.49,0.3693792600678565
Bird Dog Jalapeno Honey Whiskey,25.360113,NULL,NULL,18.99,0.7488136848344574
Buchanan's Deluxe 12 Year Scotch,59.1736,NULL,NULL,85.99,1.4531818068123241
Olde Bourbon,59.1736,NULL,NULL,19.3,0.3261589540590629
Benrinnes 21 Year Scotch,25.360113,NULL,NULL,459.99,18.138325630642534
Bird Dog Jalapeno Honey Flavored Whiskey,1.6906742,NULL,NULL,1.19,0.7038612567983014
Canadian Limited Whisky,59.1736,NULL,NULL,15.99,0.2702218552805943
Inver House Scotch,33.813484,NULL,NULL,11.99,0.3545922597941652
Evan Williams Single Barrel Bourbon,25.360113,84.5,8.710000038146973,31.99,1.2614296943224215
Bird Dog Chocolate Whiskey,25.360113,NULL,NULL,18.99,0.7488136848344574
Pendleton Limited Edition-wnp15,25.360113,NULL,NULL,25.49,1.0051216895784394
The Dubliner Irish Whiskey,25.360113,NULL,NULL,28.99,1.1431336921328914
Jim Beam Devil's Cut Bourbon,25.360113,75.3,8.050000190734863,24.99,0.9854056892135178
Wathen's Single Barrel Bourbon,25.360113,84.33333333333333,NULL,39.99,1.5768857753717413
JP Wiser's Rye,25.360113,NULL,NULL,19.99,0.7882456855643007
Chivas Regal 12 Year Scotch,1.6906742,69.52083333333333,7.760000228881836,3.19,1.8868212953756849
Jim Beam Double Oak,25.360113,86.0,NULL,24.99,0.9854056892135178
Caol Ila 12 Year Scotch,25.360113,84.94845360824742,8.720000267028809,65.99,2.6021176439265243
Colonel's Pride Bourbon,59.1736,NULL,NULL,16.99,0.28712128362009187
Old Grand Dad,25.360113,NULL,NULL,18.99,0.7488136848344574
Wild Turkey Russell's Reserve Rye,25.360113,82.0,8.65999984741211,44.99,1.7740457790209585
Westland American Single Malt Whiskey,25.360113,81.4,8.470000267028809,74.99,2.9570056504951148
Southern Comfort Caramel,1.6906742,NULL,NULL,1.99,1.1770452440252896
Angel's Envy Port Barrel Bourbon,25.360113,NULL,NULL,49.99,1.9712057826701754
Forged Oak Bourbon,25.360113,NULL,NULL,69.99,2.759845646845898
Irishman Founders Reserve,25.360113,NULL,8.319999694824219,29.99,1.1825656928627348
Bowmore 12 Year Single Malt Scotch,25.360113,76.14545454545454,8.380000114440918,51.99,2.050069784129862
Jack Daniel's 150th Anniversary Tennessee Whiskey,25.360113,NULL,8.90999984741211,27.99,1.103701691403048
Geo. Washington Straight Rye 2yr (distillery Only),12.680057,NULL,NULL,187.99,14.82564406761942
Rabble Rouser Straight Rye (distillery Only),25.360113,NULL,NULL,61.59,2.4286169309679004
Jack Daniel's Honey Tennessee Whiskey,33.813484,70.5,NULL,32.99,0.9756463276971282
Canada House Whisky,59.1736,NULL,NULL,16.49,0.2786715694503431
The Macallan 12yr Scotch,25.360113,83.83333333333333,NULL,67.99,2.680981645386211
Eagle Rare 10 Year Bourbon,25.360113,83.9,8.550000190734863,30.99,1.2219976935925783
Booker's Rye Whiskey,25.360113,91.25,9.289999961853027,299.99,11.829205513867588
Early Times Whiskey,33.813484,46.333333333333336,NULL,15.49,0.45810126171000415
Bunnahabhain 12 Year Single Malt Scotch,25.360113,85.66666666666667,8.579999923706055,69.99,2.759845646845898
Early Times Whiskey,25.360113,92.66666666666667,NULL,11.99,0.47278967972555364
Black Velvet Cinnamon Rush Flavored Whiskey,25.360113,NULL,NULL,12.9,0.5086727943728653
Glenmorangie Original Angled Frame The Open,25.360113,NULL,NULL,44.99,1.7740457790209585
Bird Dog Maple Flavored Whiskey,25.360113,NULL,NULL,18.99,0.7488136848344574
Rebel Yell Root Beer,25.360113,NULL,NULL,15.99,0.6305176826449272
Red Stag,33.813484,52.0,NULL,20.99,0.6207582647206081
Clan Macgregor Scotch (plastic),59.1736,NULL,NULL,19.99,0.3378195686385847
Inver House Scotch,59.1736,NULL,NULL,18.99,0.3209201402990871
Talisker Distiller's Edition,25.360113,88.57142857142857,NULL,95.99,3.7850776658218264
John E. Fitzgerald VS Reserve,12.680057,NULL,NULL,299.99,23.658411027735177
Jack Daniel's Single Barrel Tennessee Whiskey,25.360113,78.05882352941177,8.460000038146973,49.99,1.9712057826701754
Lock Stock & Barrel 13 Year Rye Whiskey,25.360113,NULL,NULL,99.99,3.9428056687412
Wild Turkey American Honey,33.813484,NULL,NULL,29.99,0.8869242696470511
Duggan's Dew O'kirkintilloch Scotch,59.1736,NULL,NULL,27.99,0.4730149953545654
Jack Daniel's Single Barrel - Barrel Proof,25.360113,74.4,NULL,69.99,2.759845646845898
Crown Royal Honey Whiskey,1.6906742,NULL,NULL,2.99,1.7685252633139814
Johnnie Walker Black Scotch,59.1736,77.36904761904762,8.270000457763672,87.99,1.4869806634913194
Elijah Craig 12yr,59.1736,84.1044776119403,8.6899995803833,54.99,0.9292995927541019
Murlarkey Cincerity,25.360113,NULL,NULL,29.99,1.1825656928627348
Ardbeg Perpetuum Scotch,25.360113,82.7,8.899999618530273,99.99,3.9428056687412
Woodford Reserve Double Oaked,25.360113,82.0,8.720000267028809,56.99,2.2472297877790792
George Dickel No. 8 Tennessee Whiskey,12.680057,70.75,NULL,11.49,0.9061473587212638
Bird Dog Cinnamon Whiskey,1.6906742,NULL,NULL,1.19,0.7038612567983014
Bird Dog Maple Whiskey,1.6906742,NULL,NULL,1.19,0.7038612567983014
Mcclelland's Islay Scotch,25.360113,63.166666666666664,NULL,27.99,1.103701691403048
Eagle Rare 10 Year Bourbon,59.1736,83.9,8.550000190734863,57.99,0.9799978777725947
Old Forester,59.1736,78.25,8.109999656677246,37.99,0.6420093109826429
